name,event_url,description,sponsor,sponsor_urls,maps_description,maps_query,maps_placeid,location_free,type,days,time,outside_of_madison
Revolution Cycles Bike Station,https://www.facebook.com/events/451532192268403/,"Here all week, M-F!",Revolution Cycles,https://www.revolutioncycles.net/,"Capital City Trail, Jackson St Plaza","43°05'36.5""N 89°20'55.3""W",,,station_food,"3,4,5,6,7",7:00 AM - 9:00 AM,
"Bike Station with Cadence Cold Brew, REI, Sassy Cow, Willy Street Co-op",,"Join REI Coop, Willy Street Coop, Sassy Cow Creamery and Cadence Cold Brew at our bike station on the Capital City Trail at Ingersoll St. We'll be dishing out complimentary cold brew coffee, sweets, treats and fun swag items to celebrate Madison Bike Week. A bicycle mechanic will be on hand to do safety checks on your bikes.
When you stop by, make sure to enter yourself in the drawing for our Tuesday commuter giveaway! The prize is a fabulous adventure pack containing:
* Gift certificates to Willy Street Coop and Sassy Cow!\
* A *case* of Cadence cold brew!\
* Gear from REI!","Cadence Cold Brew, REI, Sassy Cow, Willy Street Co-op","https://www.cadencecoldbrew.com/, https://www.rei.com/, https://sassycowcreamery.com/, https://www.willystreet.coop/",Capital City Trail @ Ingersoll St,"43°04'57.6""N 89°22'01.1""W",,,"station_food,station_tuneups",4,7:00 AM - 9:00 AM,
Bacon Cheddar Waffles on the Cap City Trail,,,"The Cargo Bike Shop,Cafe Domestique","http://www.thecargobikeshop.com/,http://www.cafedomestiquemadison.com/",Capital City Trail @ S Dickinson St,,,,station_food,4,7:00 AM - 9:00 AM,
State Line Distillery,,"Happy Hour specials all night long on June 7th (5-11pm). Just mention ""Madison Bike Week.""
$2 off classics; $1 off originals",State Line Distillery,https://www.statelinedistillery.com/,1413 Northern Ct.,,ChIJFXs-THhTBogRd8i02ukKadw,,discounts,7,05:00 PM - 11:00 PM,
Bike Station at Crazylegs Plaza with HotelRED and Monroe Street Family Dental,https://www.facebook.com/events/818188775227436/,"HotelRED and Monroe Street Family Dental have teamed up to host a bike station at Crazylegs plaza. Monroe Street Family Dental will provide free reusable water bottles and enjoy coffee and fresh pastries from HotelRED.
","HotelRED,Monroe Street Family Dental","http://www.hotelred.com/,https://monroestreetfamilydental.com/","Crazylegs Plaza, Southwest Commuter Path @ Regent St and Monroe St","43°04'03.4""N 89°24'48.6""W",,,station_food,3,07:00 AM - 09:00 AM,
REAP Food Group Presents Burgers & Brew 2019,http://reapfoodgroup.org/burgers-brew/,"Burgers & Brew is a one-day extravaganza on June 1, 2019 from 4-7:30 pm (3:30 pm early entry) featuring local burgers and delicious craft beer at Capital Brewery in Downtown Middleton! Dane County’s most popular chefs pair up with Wisconsin’s talented brewers and farmers to serve unique, locally sourced burgers and satisfying Wisconsin craft brews. One free beer pour for attending cyclists wearing helmets, and for participants of our smoothie blender bikes! Buy your tickets at reapfoodgroup.org/burgers-brew/   ",REAP Food Group,http://reapfoodgroup.org/,"Capital Brewery, Terrace Avenue, Middleton",,ChIJN6iQZyuvB4gR4QeKrwxnQ-k,,"discounts,part_of_event",1,04:00 PM - 07:30 PM,TRUE
BMX Olympic Day,,"Free racing in celebration of Olympic Day.
1 day USABMX memberships available.
Registration from 4pm - 5pm, racing ASAP!",Madtown BMX,,"6996 Hickory Lane, DeForest",,ChIJU0PXbQ3-BogRa8RYyOmKbEc,,"discounts,part_of_event",1,04:00 PM - 07:00 PM,TRUE
Ride the Drive,https://www.cityofmadison.com/parks/ridethedrive,"Join us at RIDE THE DRIVE 2019 on Sunday, June 2 from 11:00 am to 3:00 pm!
The 11th annual Ride the Drive is more than just a free event and closing roads to traffic - it's family-friendly activities, entertainment, food and fun at three downtown area parks. Visit Brittingham Park, Olin Park and Law Park and stroll, roll, pedal or glide your way along the four-mile route at Ride the Drive 2019!",Madison Parks,https://www.cityofmadison.com/parks/,John Nolen Dr,"43°03'26.6""N 89°22'56.7""W",,,part_of_event,2,11:00 AM - 03:00 PM,
Slow Roll into Work,https://www.facebook.com/events/1166796786825269/,"Donut muffins, coffee, bike checks and good conversations courtesy of Crema Cafe and Slow Roll Cycles at the corner of Monona Drive and Buckeye Road at the Lake Edge Shopping Center.
Here all week, M-F!","Slow Roll Cycles, Crema Cafe","https://www.slowroll.bike/, https://goodcrema.com/","Corner of Monona Dr @ Buckeye Rd, Lake Edge Center","43°04'46.1""N 89°19'25.6""W",,,"station_food,station_tuneups","3,4,5,6,7",07:00 AM - 09:30 AM,
Ride Spot Challenges,,"Cooperative challenges all week from Ride Spot. Download the app ([iOS](https://itunes.apple.com/us/app/ride-spot-by-peopleforbikes/id964666706?mt=8), [Android](https://play.google.com/store/apps/details?id=com.blackriver&hl=en)) & join our challenge!
1. SW Commuter path by Underground Butcher: [https://ridespot.org/rides/101451](https://ridespot.org/rides/101451)\
1. Paoli Loop by MoMo: [https://ridespot.org/rides/101454](https://ridespot.org/rides/101454)\
1. Lake Monona Loop by Cafe Domestique: [https://ridespot.org/rides/101574](https://ridespot.org/rides/101574)\
1. Cap City Trail by The Cargo Bike Shop: [https://ridespot.org/rides/101584](https://ridespot.org/rides/101584)","Ridespot, Underground Butcher, MoMo, Cafe Domestique, The Cargo Bike Shop","https://www.ridespot.org/, http://www.undergroundbutcher.com/, http://motorlessmotionbicycles.com/, http://www.cafedomestiquemadison.com/, http://www.thecargobikeshop.com/",,,,,part_of_event,0,,
Root Beer Kegger on the Cap City Trail,,,Monona Bank,https://www.mononabank.com/,Capital City Trail @ First St,"43°05'23.1""N 89°21'21.7""W",,,station_food,4,04:00 PM - 06:00 PM,
Pizza on the Bike Path at Garver Feed Mill,https://www.facebook.com/events/586317425222624/,"Ian's Pizza, Calliope Ice Cream and NessAlla Kombucha are teaming up for the tastiest stop on the Capital City Trail! Ian's Pizza and Calliope will be opening in July at the Historic Garver Feed Mill and NessAlla has been brewing at Garver since the first of the year!

The Ian's Pizza Garver team will be slinging pizza samples, Calliope Ice Cream will be scooping samples of Lemon Lavender and Graham Cracker, and  NessAlla will be pouring samples of Kombucha!","Ian's Pizza Garver, Calliope Ice Cream, NessAlla Kombucha","https://ianspizza.com/garver/, https://calliopeicecream.com/, https://nessalla.com/","Capital City Trail @ Garver Feed Mill, 3241 Garver Green","43°05'39.2""N 89°20'05.6""W",,,station_food,6,04:00 PM - 06:00 PM,
Saris Bratcakes on the Bike Path,https://www.facebook.com/events/1111380052404513/,"Mark Your Calendar for the Best Day of the Year: #bratcakes 2019!

Join us on the Cap City bike path (between Broom St. and Monona Terrace) as we serve up this unique and truly Wisconsin inspired breakfast for hundreds of Madison commuters during Wisconsin's Bike Week!",Saris,https://www.saris.com/,Capital City Trail @ Law Park,"43°04'08.3""N 89°23'00.8""W",,,station_food,5,07:00 AM - 09:00 AM,
MMSD Bikes,,,"not really sponsoring, but we want to participate!",,all over!,,,,,?,,
Fitchburg Bike Commuter Station,https://www.facebook.com/events/440139293399929/,"Celebrate Fitchburg/Madison Bike Week 2019 with a pit stop at the ""bicycle roundabout"", the confluence of the Badger State and Capital City State Trails and the Southwest, Cannonball, and Military Ridge Paths! Your hosts are Bike Fitchburg, City of Fitchburg, WI - Government, and the Fitchburg Chamber of Commerce.
Enjoy bagels and coffee, pick up Fitchburg and Dane County bicycle maps, and get minor mechanical adjustments. Learn more about Bike Fitchburg and our local advocacy for everyone who rides or walks.","Bike Fitchburg, City of Fitchburg, Fitchburg Chamber","https://www.facebook.com/BikeFitchburg/,https://www.fitchburgwi.gov/,https://www.fitchburgchamber.com/",The Velo UnderRound,,ChIJtTh2R_GtB4gR3FXbJot9IvU,,"station_food,station_tuneups",4,07:00 AM - 09:00 AM,
Planet Bike Bacon on the Bikepath,https://www.facebook.com/events/331794610836189/,"Nothing smells quite like the legendary Bacon on the Bike Path during Madison Bike Week! Planet Bike has been sizzlin' it up for cyclists since 2007 and this 13th annual celebration of cycling is not to be missed. 
As always, Planet Bike staff will haul everything in by bike and serve up a spread of fruit, donuts, Just Coffee and Nueske's bacon. Bike tune-ups will be provided by The Bike Mobile. We’ll be giving away some Planet Bike gear as well, so be sure to stop by and immerse yourself in the fun of this yearly celebration.","Planet Bike, Nueske's Bacon, The Bike Mobile, Just Coffee","https://www.planetbike.com/, https://www.nueskes.com/, https://thebikemobile.com/, http://justcoffee.coop/",Capital City Trail @ Law Park,"43°04'08.3""N 89°23'00.8""W",,,"station_food,station_tuneups",6,07:00 AM - 10:00 AM,
"Brats, Brews, and Bikes Ride with Sun Prairie Moves",https://www.facebook.com/events/2063233147076535/,"Join us for the 5th Annual Brats, Brews, and Bikes Ride!
We will offer three ride distances followed by food and fun.
6:00 PM Ride Start (9, 18, and 27 mile rides around Sun Prairie)
7:30 PM Food",Sun Prairie Moves,https://sunprairiemoves.org/,"Wetmore Park (East Shelter), 575 North St, Sun Prairie",,ChIJk1r-G8r3BogRb7ENQ3rXrPk,,"group_ride,event",5,06:00 PM - 08:00 PM,TRUE
First Friday - Ride Your Bike Madison! Zip-Dang,,"Shop our new selection of printed t-shirts and stickers by Dark Cycle Clothing, featuring whimsical drawings of animals riding bikes! 10% off all purchases all week long for bikers who bring their helmets!",Zip-Dang,http://www.zip-dang.com/,2636 Monroe Street,,ChIJjZyNbv2sB4gRoZAf-Pl6mMQ,,discounts,0,,
First Friday - Ride Your Bike Madison! Zip-Dang,https://www.facebook.com/events/2328562380766280/,"Join us from 5-8pm at our shop for FREE local beers & treats while you shop our new selection of printed t-shirts and stickers by Dark Cycle Clothing, featuring whimsical drawings of animals riding bikes! 10% off all purchases at First Friday for bikers who bring their helmets!",Zip-Dang,http://www.zip-dang.com/,2636 Monroe Street,,ChIJjZyNbv2sB4gRoZAf-Pl6mMQ,,discounts,7,05:00 PM - 08:00 PM,
Trek Bike Station,,"The Trek City team is hosting a commuter station at Tenney Park from 7-9 am.
Come meet the designers and engineers that develop the very bikes you commute to work on.
Free coffee and tasty treats will be ready to help energize your ride.
We will have a few bike stands in case you need a quick tune up.
The team looks forward to meeting you! Happy Madison Bike Week!",Trek Bicycle,https://www.trekbikes.com/us/en_U,Tenney Park (Yahara Path),"43°05'33.7""N 89°22'02.7""W",,,"station_food,station_tuneups",3,07:00 AM - 09:00 AM,
Trek Bike Station,,"The Trek City team is hosting a commuter station at Crazy Legs Plaza from 7-9 am.
Come meet the designers and engineers that develop the very bikes you commute to work on.
Free coffee and tasty treats will be ready to help energize your ride.
We will have a few bike stands in case you need a quick tune up.
The team looks forward to meeting you! Happy Madison Bike Week",Trek Bicycle,https://www.trekbikes.com/us/en_U,Southwest Path @ Crazy Legs Plaza,"43°04'03.4""N 89°24'48.6""W",,,"station_food,station_tuneups",5,07:00 AM - 09:00 AM,
Downtown Madison Inc. Bike Station,,"Downtown Madison, Inc. is hosting a Bike Week event on Monday, June 3 from 7 to 9am in Law Park – near John Nolen Drive and North Shore. Stop by to learn more about downtown Madison while enjoying coffee and breakfast treats.",Downtown Madison Inc.,https://downtownmadison.org/,Capital City Trail @ Law Park,"43°04'08.3""N 89°23'00.8""W",,,station_food,3,07:00 AM - 09:00 AM,
City of Madison Bike Station,,,City of Madison,http://www.cityofmadison.com/,Madison Municipal Building,,ChIJ4YATUD5TBogRbbZvnLEtrSQ,,station_food,3,07:00 AM - 09:00 AM,
Afghan Cycles,https://www.facebook.com/events/287817335433380/,"Movie Night! Free!
Afghan Cycles is a feature documentary about a generation of Afghan women who are pedaling their own revolution, aggressively challenging gender and cultural barriers using the bicycle as a vehicle for freedom, empowerment and social change.
[Watch the trailer here!](https://vimeo.com/137796562)","UW Transportation Services, JUST Bikes, City of Madison, Madison Bikes","https://transportation.wisc.edu/,,https://www.madisonbikes.org/, http://www.cityofmadison.com/","Memorial Union, Play Circle Theater",,ChIJs6aVULWsB4gReZjWr0PIUSY,,event,3,07:00 PM - 08:30 PM,
